configuracion,roc_auc_mean,roc_auc_std,roc_auc_se,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_mean,pr_auc_std,pr_auc_se,pr_auc_ci_lo,pr_auc_ci_hi,brier_mean,brier_std,brier_se,brier_ci_lo,brier_ci_hi,sens_at_20_mean,sens_at_20_std,sens_at_20_se,sens_at_20_ci_lo,sens_at_20_ci_hi,vpp_at_20_mean,vpp_at_20_std,vpp_at_20_se,vpp_at_20_ci_lo,vpp_at_20_ci_hi
baseline_trivial,0.5,0.0,0.0,0.5,0.5,0.15030303030303033,0.006049984654905502,0.0008555970351116469,0.13846153846153847,0.15384615384615385,0.12773212408032067,0.004202441716467384,0.0005943150070510644,0.11950883778073632,0.1301970588534203,0.29377777777777775,0.10178948134988933,0.01439520650319367,0.1111111111111111,0.5,0.22153846153846155,0.07714254406498568,0.010909603205266686,0.07692307692307693,0.38461538461538464
baseline_clinico,0.5419300144300144,0.07531349140070279,0.010650936096854335,0.3785909090909091,0.6858181818181818,0.21008255233485115,0.06954249634916558,0.009834794149827141,0.12953098290598292,0.37560256410256404,0.12775604450882644,0.008265123075190983,0.001168864914761791,0.112838603390093,0.14142119861480568,0.3088888888888889,0.11562269112047181,0.016351517790064645,0.2,0.6291666666666664,0.23230769230769233,0.08581284837518523,0.012135769399805296,0.15384615384615385,0.44423076923076915
lr_C0.1,0.7882549062049061,0.05879865818987313,0.008315385986145844,0.6662727272727273,0.8805909090909091,0.46371201927100236,0.11766510554418443,0.016640358807864727,0.24410574286785672,0.6688618105932962,0.17352884069282581,0.021312292362616333,0.003014013290447255,0.13535374260421654,0.20791815164097255,0.48844444444444435,0.11232802986688926,0.015885582327240487,0.3,0.7,0.36769230769230765,0.08410722249737342,0.011894557474931698,0.23076923076923078,0.5384615384615384
lr_buscada,0.7668167388167387,0.056240091357340254,0.017784678450514582,0.7016334776334776,0.8486704545454545,0.43150107781696334,0.1178958012844608,0.03728192586295009,0.2804408235774888,0.6136061597971563,0.19513668398716694,0.02953990862041764,0.009341339311376203,0.1495622936166043,0.2319492737068612,0.4477777777777778,0.1260402531125034,0.039857427669963745,0.23972222222222223,0.6,0.3384615384615385,0.09730085108210398,0.030769230769230767,0.17115384615384616,0.46153846153846156
rf_buscada,0.7496143578643578,0.07343121744064954,0.02322098984715327,0.6541910173160174,0.856301948051948,0.44931111348494995,0.1467265059288307,0.04639899518533046,0.25074628904408314,0.6359597526567038,0.16677185627794902,0.014465809853338911,0.0045744907335457255,0.14641745531075218,0.19415609390901092,0.48888888888888893,0.15044515564140665,0.0475749354765375,0.23972222222222223,0.6925,0.36923076923076925,0.11351765959578798,0.035897435897435895,0.17115384615384616,0.5211538461538462
gb_buscada,0.7303160173160174,0.07402644545729486,0.023409217473127655,0.6335945165945166,0.8253579545454546,0.3964413882943432,0.11425579733760662,0.03613085554654392,0.24776283235734456,0.6112390849444421,0.1201748112429398,0.017983010613895522,0.005686727272689266,0.09522471746090569,0.14807020629743392,0.4688888888888889,0.11603887527950142,0.03669471430074321,0.3075,0.6675,0.35384615384615387,0.09029136852132824,0.02855263775810267,0.23076923076923078,0.5038461538461538
