configuracion,roc_auc_mean,roc_auc_std,roc_auc_se,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_mean,pr_auc_std,pr_auc_se,pr_auc_ci_lo,pr_auc_ci_hi,brier_mean,brier_std,brier_se,brier_ci_lo,brier_ci_hi,sens_at_20_mean,sens_at_20_std,sens_at_20_se,sens_at_20_ci_lo,sens_at_20_ci_hi,vpp_at_20_mean,vpp_at_20_std,vpp_at_20_se,vpp_at_20_ci_lo,vpp_at_20_ci_hi
baseline_trivial,0.5,0.0,0.0,0.5,0.5,0.2941346153846154,0.0022602311362505873,0.00031964495269835315,0.2923076923076923,0.296875,0.2076222475470399,0.0009318528449084716,0.00013178389314055127,0.20686903985984564,0.2087520590778313,0.26210526315789473,0.07092421860616138,0.010030199185354763,0.11710526315789474,0.3684210526315789,0.38307692307692315,0.10365847334746661,0.014659521886287727,0.17115384615384616,0.5384615384615384
baseline_clinico,0.561765064836003,0.050122453392469554,0.007088385336704379,0.482266081871345,0.6647368421052631,0.36415989054804837,0.0567339514105202,0.008023392353177386,0.2904258241758242,0.483640742481203,0.20440692404745078,0.010517464364091294,0.0014873940745473628,0.18851012503507672,0.22255905921482527,0.311578947368421,0.07581691829146182,0.01072213141051181,0.16973684210526316,0.42105263157894735,0.4553846153846154,0.11080934211829038,0.015670807446132647,0.24807692307692308,0.6153846153846154
lr_C0.1,0.7216018306636157,0.0631903226082321,0.008936461124329304,0.6122864225781846,0.8364130434782607,0.5336934162066083,0.09642640425468732,0.013636752866784951,0.3714391471876593,0.7140077638500625,0.21058108018301397,0.022937554505242864,0.0032438600668986545,0.16594767150349113,0.25683256659463716,0.3526315789473684,0.0790368272241678,0.011177495298735716,0.16973684210526316,0.47368421052631576,0.5153846153846154,0.1155153628660914,0.016336339282767585,0.24807692307692308,0.6923076923076923
lr_buscada,0.7502237477752352,0.04602391466609858,0.014554039718209935,0.689516590389016,0.8263014874141876,0.5543707006638151,0.10012226543737364,0.03166144032780553,0.43010717149691224,0.7174079887758836,0.22384360424415134,0.009126178294065071,0.002885950974203554,0.2103279125178834,0.23607285823378832,0.3684210526315789,0.06564311204866563,0.02075817467754251,0.27499999999999997,0.4618421052631579,0.5384615384615385,0.09593993299420363,0.030338870682562132,0.40192307692307694,0.675
rf_buscada,0.7360767861683193,0.056250954873700715,0.017788113796024338,0.6607773963895245,0.8296910755148742,0.5335595035981588,0.09169874624842769,0.028997689672685185,0.4038328296281257,0.6901614750244667,0.1994949572658244,0.019516372249431573,0.006171618797190756,0.1709945811504856,0.22955798757586807,0.3368421052631579,0.11151051636540844,0.03526272147761716,0.21052631578947367,0.5144736842105263,0.49230769230769245,0.1629769085340585,0.051537823698055846,0.3076923076923077,0.751923076923077
gb_buscada,0.7277930333079075,0.06547101402338504,0.020703752503472117,0.6154633867276887,0.8165474828375285,0.5354781470106219,0.081201806740253,0.02567826594200122,0.4244374787557791,0.6766634716726823,0.1860754752350522,0.018076571732763887,0.005716313896295045,0.15725698347417855,0.2135635309883111,0.3421052631578947,0.1059916313473208,0.03351749679744351,0.16973684210526316,0.5026315789473684,0.4999999999999999,0.15491084581531506,0.04898711070395591,0.24807692307692308,0.7346153846153847
