fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.8123569794050343,0.6167109316317434,0.16300020122735526,0.3684210526315789,0.5384615384615384
1,0.7574370709382152,0.5552637397938529,0.1789958282337416,0.3157894736842105,0.46153846153846156
2,0.7734553775743707,0.5473039507044757,0.17778262739228007,0.42105263157894735,0.6153846153846154
3,0.735672514619883,0.5272070046690962,0.19302374504943948,0.3684210526315789,0.5384615384615384
4,0.8760233918128655,0.7874629262930071,0.1402882884035787,0.5263157894736842,0.7692307692307693
5,0.851258581235698,0.717600801259727,0.15443071643528578,0.47368421052631576,0.6923076923076923
6,0.8272311212814646,0.7349412868060008,0.1544661606260251,0.47368421052631576,0.6923076923076923
7,0.7963386727688786,0.5624819284313543,0.16946739731462657,0.47368421052631576,0.6923076923076923
8,0.7672514619883041,0.6465616167272195,0.2040892607144374,0.42105263157894735,0.6153846153846154
9,0.6982456140350877,0.4264414606962585,0.20367501506748675,0.3157894736842105,0.46153846153846156
10,0.8901601830663616,0.7752713825652557,0.14085928241337137,0.47368421052631576,0.6923076923076923
11,0.7711670480549198,0.5761100030861297,0.1823970270981305,0.42105263157894735,0.6153846153846154
12,0.8215102974828374,0.6283329334204633,0.1717747716599776,0.3684210526315789,0.5384615384615384
13,0.712280701754386,0.5224447651305236,0.19502179588108587,0.42105263157894735,0.6153846153846154
14,0.7859649122807018,0.5858530199156069,0.1701809399270391,0.47368421052631576,0.6923076923076923
15,0.7848970251716246,0.6002303668740623,0.17400268486887815,0.42105263157894735,0.6153846153846154
16,0.7116704805491991,0.5206966619789724,0.20093970104287692,0.2631578947368421,0.38461538461538464
17,0.805491990846682,0.6417860595905768,0.17184734903201604,0.47368421052631576,0.6923076923076923
18,0.8187134502923976,0.636075303913859,0.1597822171504858,0.3684210526315789,0.5384615384615384
19,0.7824561403508772,0.6560173039741344,0.17265002416794423,0.42105263157894735,0.6153846153846154
20,0.7894736842105263,0.6036502734819578,0.17873461053537532,0.3684210526315789,0.5384615384615384
21,0.7860411899313501,0.5825651582323943,0.17045435565816644,0.3684210526315789,0.5384615384615384
22,0.7425629290617849,0.5516788676657871,0.18845365943649084,0.3157894736842105,0.46153846153846156
23,0.7730994152046784,0.5990446698215152,0.17500217279211644,0.42105263157894735,0.6153846153846154
24,0.854970760233918,0.6582686352785224,0.155907852551388,0.47368421052631576,0.6923076923076923
25,0.816933638443936,0.6796277391818828,0.15972866775270245,0.47368421052631576,0.6923076923076923
26,0.7379862700228833,0.5648321805709133,0.198531465715072,0.3684210526315789,0.5384615384615384
27,0.8718535469107551,0.7272397841225848,0.14188706020685793,0.47368421052631576,0.6923076923076923
28,0.6573099415204678,0.5260532549131832,0.2294643247081701,0.3157894736842105,0.46153846153846156
29,0.9181286549707603,0.7812100103199174,0.13196731823205818,0.5263157894736842,0.7692307692307693
30,0.7368421052631579,0.5997357074817888,0.19801305403086739,0.42105263157894735,0.6153846153846154
31,0.7643020594965675,0.5762277728902827,0.18329673232306454,0.3684210526315789,0.5384615384615384
32,0.8501144164759724,0.6963667657504222,0.16093594871752134,0.42105263157894735,0.6153846153846154
33,0.9146198830409358,0.7668523624264639,0.1333550117481278,0.5263157894736842,0.7692307692307693
34,0.7298245614035087,0.5618953365659907,0.1881109734040865,0.3684210526315789,0.5384615384615384
35,0.7620137299771167,0.6589196450264563,0.17709273979110438,0.47368421052631576,0.6923076923076923
36,0.8077803203661327,0.6787866946333643,0.16652554552575874,0.42105263157894735,0.6153846153846154
37,0.8775743707093822,0.7547587417518178,0.14033457591193454,0.47368421052631576,0.6923076923076923
38,0.8666666666666666,0.7357853454861568,0.14804661953247483,0.47368421052631576,0.6923076923076923
39,0.6304093567251462,0.3769563017189854,0.23272000273221857,0.2631578947368421,0.38461538461538464
40,0.7631578947368421,0.5916538694202211,0.18150421818119716,0.2631578947368421,0.38461538461538464
41,0.7757437070938215,0.5529330198184321,0.1915788541625322,0.3684210526315789,0.5384615384615384
42,0.8844393592677345,0.8538433773166947,0.13448699295958175,0.631578947368421,0.9230769230769231
43,0.7228070175438597,0.5194689036613642,0.19689577309501358,0.3684210526315789,0.5384615384615384
44,0.8467836257309942,0.6703685469642136,0.15203159819752937,0.42105263157894735,0.6153846153846154
45,0.7665903890160183,0.5549561249251191,0.18558285527653198,0.3157894736842105,0.46153846153846156
46,0.7871853546910754,0.5896424367949016,0.17156616731632465,0.3684210526315789,0.5384615384615384
47,0.8661327231121282,0.7627394304679622,0.15215142320571637,0.5263157894736842,0.7692307692307693
48,0.7309941520467835,0.5476752233722985,0.19841895262145268,0.3684210526315789,0.5384615384615384
49,0.8304093567251462,0.6522976128573326,0.1580157328733933,0.42105263157894735,0.6153846153846154
