fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.7732142857142856,0.4172724205618943,0.20185232732873243,0.5,0.38461538461538464
1,0.7083333333333333,0.2857117190450524,0.1737477255647904,0.3333333333333333,0.23076923076923078
2,0.8763636363636365,0.603116883116883,0.17010495544172616,0.6,0.46153846153846156
3,0.7781818181818182,0.5026141110351636,0.1672972773763268,0.5,0.38461538461538464
4,0.7727272727272727,0.34389643871817044,0.15470997388202304,0.5,0.38461538461538464
5,0.7535714285714286,0.3770282561241814,0.17788385899338274,0.5,0.38461538461538464
6,0.8253968253968254,0.47861823361823363,0.15614267623676437,0.6666666666666666,0.46153846153846156
7,0.7363636363636363,0.46617428437195874,0.19593640025001735,0.5,0.38461538461538464
8,0.7781818181818182,0.35225546295313737,0.18467125637385853,0.5,0.38461538461538464
9,0.7890909090909091,0.461499392420445,0.16609339822841684,0.3,0.23076923076923078
10,0.8160714285714286,0.4732118857254973,0.16354811702895525,0.5,0.38461538461538464
11,0.6984126984126984,0.2883276973189254,0.2088028088867231,0.4444444444444444,0.3076923076923077
12,0.6945454545454546,0.2583483048860623,0.20458053091778636,0.3,0.23076923076923078
13,0.7981818181818181,0.49406140097316564,0.16039183688462888,0.4,0.3076923076923077
14,0.8200000000000001,0.6526079206386112,0.13853951918009,0.5,0.38461538461538464
15,0.825,0.46670742367081036,0.1450362567346646,0.5,0.38461538461538464
16,0.8273809523809523,0.5672417343005578,0.14677247614574504,0.5555555555555556,0.38461538461538464
17,0.6654545454545455,0.23933659892619344,0.19837236123501786,0.3,0.23076923076923078
18,0.8290909090909091,0.5807368353475532,0.17098079112658435,0.6,0.46153846153846156
19,0.769090909090909,0.47127984778195153,0.22661404858981468,0.5,0.38461538461538464
20,0.8035714285714286,0.5596225077882129,0.15205894772634732,0.4,0.3076923076923077
21,0.8115079365079365,0.464625086847309,0.1642856219257087,0.5555555555555556,0.38461538461538464
22,0.7509090909090909,0.40862193362193355,0.18762792237239145,0.4,0.3076923076923077
23,0.8054545454545455,0.5217703533026113,0.17858156034222086,0.5,0.38461538461538464
24,0.8018181818181819,0.5004516430228004,0.17701446033918364,0.6,0.46153846153846156
25,0.7392857142857143,0.40719499531999526,0.18613802368369617,0.5,0.38461538461538464
26,0.8095238095238095,0.4541627454670933,0.19923729649032193,0.5555555555555556,0.38461538461538464
27,0.8254545454545454,0.5089950108371161,0.19208472221004189,0.7,0.5384615384615384
28,0.8036363636363637,0.4323933020958192,0.16518499018753832,0.5,0.38461538461538464
29,0.8818181818181818,0.5870457393483709,0.1224361743771211,0.5,0.38461538461538464
30,0.8571428571428572,0.441705097821668,0.17177698416314496,0.6,0.46153846153846156
31,0.7896825396825398,0.4972658704163792,0.19000048932351965,0.4444444444444444,0.3076923076923077
32,0.8254545454545454,0.6682973733583489,0.1592773478668767,0.7,0.5384615384615384
33,0.6327272727272728,0.2399708055077325,0.19282554892152745,0.2,0.15384615384615385
34,0.7872727272727272,0.48589040715721676,0.16765601981213907,0.5,0.38461538461538464
35,0.8124999999999999,0.5287768842354755,0.17097872200540945,0.5,0.38461538461538464
36,0.7797619047619048,0.33853413402083465,0.18080429723303623,0.4444444444444444,0.3076923076923077
37,0.7945454545454544,0.5696455196455196,0.1799872856334445,0.6,0.46153846153846156
38,0.769090909090909,0.41833628736854545,0.16314701476196955,0.3,0.23076923076923078
39,0.8054545454545455,0.4621709401709402,0.16413626554399824,0.4,0.3076923076923077
40,0.8410714285714286,0.5423440065681445,0.14576477999690918,0.5,0.38461538461538464
41,0.7956349206349206,0.48418125084791747,0.17511784942303726,0.5555555555555556,0.38461538461538464
42,0.6690909090909091,0.2858549130750239,0.1999081721881103,0.4,0.3076923076923077
43,0.8345454545454545,0.599436974789916,0.16125988349804302,0.4,0.3076923076923077
44,0.8363636363636363,0.5100265957446808,0.1689199782966332,0.6,0.46153846153846156
45,0.7125,0.26245738985594674,0.18435144657456606,0.4,0.3076923076923077
46,0.875,0.6690256794679583,0.13442883972734837,0.6666666666666666,0.46153846153846156
47,0.9345454545454546,0.7406251591545708,0.1394471340616338,0.7,0.5384615384615384
48,0.7872727272727272,0.49357565562456873,0.18505466064371667,0.4,0.3076923076923077
49,0.7054545454545454,0.32254984953302274,0.20487099890560975,0.4,0.3076923076923077
