fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.8821428571428572,0.6876302940564618,0.15252249376770588,0.5,0.38461538461538464
1,0.7757936507936508,0.38808336199977067,0.1647572288880827,0.5555555555555556,0.38461538461538464
2,0.9436363636363636,0.7815530303030302,0.13216949346837814,0.7,0.5384615384615384
3,0.8054545454545454,0.54503058722074,0.1512825769619538,0.5,0.38461538461538464
4,0.8454545454545455,0.43567906508695975,0.13054855530844617,0.5,0.38461538461538464
5,0.7821428571428571,0.5490749601709523,0.17487986970249192,0.6,0.46153846153846156
6,0.8928571428571428,0.5428961470628137,0.13537550424888767,0.6666666666666666,0.46153846153846156
7,0.8181818181818181,0.5796396286885417,0.15452563952445714,0.6,0.46153846153846156
8,0.8109090909090908,0.4642908153937566,0.1677021047969225,0.3,0.23076923076923078
9,0.8509090909090911,0.5650378787878788,0.13879420133674494,0.6,0.46153846153846156
10,0.9125,0.621154401154401,0.13253502841266795,0.7,0.5384615384615384
11,0.8333333333333334,0.47746081710276084,0.15209037422537267,0.5555555555555556,0.38461538461538464
12,0.7545454545454546,0.487972200864199,0.17803504050072966,0.4,0.3076923076923077
13,0.8981818181818182,0.6433177933177933,0.12494657822096603,0.7,0.5384615384615384
14,0.8054545454545454,0.6345095095095095,0.1448335544917407,0.5,0.38461538461538464
15,0.8767857142857143,0.630365336417968,0.12880543550700901,0.6,0.46153846153846156
16,0.8650793650793651,0.4962912087912088,0.14327442345484387,0.5555555555555556,0.38461538461538464
17,0.7272727272727273,0.3439399144002725,0.1784481953687048,0.4,0.3076923076923077
18,0.8436363636363636,0.6555774025857483,0.11799151035985747,0.7,0.5384615384615384
19,0.8581818181818182,0.6904455103275429,0.19766301312889917,0.6,0.46153846153846156
20,0.875,0.6742979242979242,0.11593665369945919,0.7,0.5384615384615384
21,0.8472222222222222,0.5300556947925369,0.1673236959558502,0.5555555555555556,0.38461538461538464
22,0.8054545454545455,0.49162038941450703,0.18218685194103032,0.5,0.38461538461538464
23,0.9018181818181819,0.7010560324608311,0.12584871866123645,0.7,0.5384615384615384
24,0.8418181818181818,0.6532300420168067,0.14124462175071942,0.5,0.38461538461538464
25,0.7910714285714285,0.5140510742866571,0.15639086844995723,0.5,0.38461538461538464
26,0.7956349206349207,0.49903941374529615,0.2296399135952858,0.5555555555555556,0.38461538461538464
27,0.8127272727272727,0.5736134453781513,0.15529562293407465,0.4,0.3076923076923077
28,0.9418181818181819,0.6692456073338425,0.11365580865885283,0.8,0.6153846153846154
29,0.9363636363636364,0.7710280947123053,0.09344371190590522,0.8,0.6153846153846154
30,0.9160714285714285,0.7356076521517698,0.1351518350375424,0.7,0.5384615384615384
31,0.8214285714285715,0.4995547785233693,0.19138079258484375,0.4444444444444444,0.3076923076923077
32,0.86,0.7216179534750963,0.12468412462807744,0.7,0.5384615384615384
33,0.6927272727272727,0.3453160638219064,0.17157739984535206,0.3,0.23076923076923078
34,0.8818181818181818,0.5897393420419736,0.1312414619440511,0.6,0.46153846153846156
35,0.8696428571428572,0.6719555353901996,0.15022606261872615,0.6,0.46153846153846156
36,0.8392857142857143,0.4959352629940865,0.15568435583726226,0.5555555555555556,0.38461538461538464
37,0.8545454545454546,0.561827485380117,0.14813173697172222,0.5,0.38461538461538464
38,0.8654545454545455,0.5982579185520361,0.13045979472903788,0.7,0.5384615384615384
39,0.8745454545454545,0.642406106479333,0.1298378748706064,0.6,0.46153846153846156
40,0.9089285714285715,0.6272428062133945,0.1106038585599036,0.7,0.5384615384615384
41,0.8234126984126985,0.5159201518331871,0.17728451023384065,0.4444444444444444,0.3076923076923077
42,0.7563636363636363,0.4107909785485373,0.18091263863783205,0.5,0.38461538461538464
43,0.8963636363636364,0.6911388766032728,0.12064672986027632,0.5,0.38461538461538464
44,0.9072727272727272,0.7562917999874522,0.11956884281487017,0.8,0.6153846153846154
45,0.8267857142857142,0.3842908324979936,0.15108106605647045,0.4,0.3076923076923077
46,0.8968253968253969,0.6378330084470436,0.13606146801081032,0.5555555555555556,0.38461538461538464
47,0.9381818181818182,0.8146298593879239,0.10081255083949738,0.8,0.6153846153846154
48,0.8290909090909091,0.5452690808764977,0.16832403645861643,0.5,0.38461538461538464
49,0.7872727272727272,0.4283307564886512,0.1696674513280586,0.6,0.46153846153846156
