fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.8125,0.4993179099956593,0.19189269223752695,0.5,0.38461538461538464
1,0.7658730158730159,0.3804859991134501,0.16127229240099344,0.4444444444444444,0.3076923076923077
2,0.8636363636363635,0.5734027624027623,0.168973326941661,0.7,0.5384615384615384
3,0.7709090909090909,0.43549071207430345,0.1682310388941696,0.3,0.23076923076923078
4,0.8036363636363637,0.36413372589179044,0.13890707960366006,0.5,0.38461538461538464
5,0.7874999999999999,0.4474176426034011,0.16617571557467958,0.4,0.3076923076923077
6,0.867063492063492,0.5816737410304662,0.14753253737238883,0.6666666666666666,0.46153846153846156
7,0.7418181818181818,0.4931893675032999,0.18077864579508365,0.5,0.38461538461538464
8,0.769090909090909,0.34288085391311196,0.2028255089901011,0.5,0.38461538461538464
9,0.8018181818181819,0.47263492063492063,0.1663248285331813,0.4,0.3076923076923077
10,0.8482142857142857,0.5781673881673881,0.1483337662112313,0.6,0.46153846153846156
11,0.7242063492063492,0.34122315299226846,0.19556794995761032,0.4444444444444444,0.3076923076923077
12,0.7145454545454546,0.27919263248210613,0.20600173571827124,0.3,0.23076923076923078
13,0.8254545454545454,0.4647412649270234,0.1497622222886976,0.6,0.46153846153846156
14,0.8109090909090909,0.6132706552706552,0.15277528082990102,0.5,0.38461538461538464
15,0.7946428571428572,0.4412797619047619,0.15516700921647647,0.3,0.23076923076923078
16,0.8174603174603174,0.43510539709370116,0.1572134823706174,0.5555555555555556,0.38461538461538464
17,0.7181818181818181,0.33034050665085146,0.18414249689251894,0.3,0.23076923076923078
18,0.8581818181818182,0.6480541001825831,0.14285530049327347,0.7,0.5384615384615384
19,0.8127272727272727,0.5367820276941355,0.2210200875818856,0.6,0.46153846153846156
20,0.8196428571428571,0.5952036727018044,0.14658099727029755,0.5,0.38461538461538464
21,0.8234126984126984,0.46302277432712213,0.16539742664403015,0.4444444444444444,0.3076923076923077
22,0.7654545454545454,0.39625251311703746,0.1880459113110604,0.4,0.3076923076923077
23,0.8381818181818183,0.5425520674977197,0.16340454339250185,0.6,0.46153846153846156
24,0.82,0.5181144781144781,0.1701262851645303,0.5,0.38461538461538464
25,0.7660714285714286,0.4791705972711665,0.18480737693683383,0.4,0.3076923076923077
26,0.8333333333333333,0.46093118626013363,0.19272486361871294,0.4444444444444444,0.3076923076923077
27,0.8399999999999999,0.5859811702458761,0.18143763560254267,0.6,0.46153846153846156
28,0.8454545454545455,0.45251600102406553,0.15274385806903998,0.5,0.38461538461538464
29,0.8472727272727274,0.49587788916736286,0.1231391858123546,0.5,0.38461538461538464
30,0.875,0.5427310924369748,0.15658285625225965,0.6,0.46153846153846156
31,0.7599206349206349,0.41362850348419106,0.21427554793853976,0.4444444444444444,0.3076923076923077
32,0.8600000000000001,0.6845588235294117,0.13702288302340696,0.7,0.5384615384615384
33,0.6236363636363638,0.2800611219997877,0.19460120598579245,0.2,0.15384615384615385
34,0.8109090909090909,0.5204735945058526,0.1653107986559096,0.5,0.38461538461538464
35,0.8571428571428572,0.5685354865944702,0.16288645526030127,0.5,0.38461538461538464
36,0.7956349206349207,0.376942865028296,0.1656535652698358,0.5555555555555556,0.38461538461538464
37,0.7890909090909092,0.4868725718725718,0.1926475803523845,0.5,0.38461538461538464
38,0.7872727272727273,0.45710728477175844,0.14903848082018417,0.5,0.38461538461538464
39,0.82,0.49657471560697364,0.15364172911685314,0.5,0.38461538461538464
40,0.8821428571428571,0.5845202020202019,0.12680764096834482,0.6,0.46153846153846156
41,0.8253968253968254,0.5370339283382761,0.17680008966424762,0.5555555555555556,0.38461538461538464
42,0.66,0.2761038548076055,0.20554079938659706,0.3,0.23076923076923078
43,0.8581818181818182,0.5925013227513227,0.15122438127644958,0.4,0.3076923076923077
44,0.8418181818181818,0.5871167396289347,0.14841877742634543,0.6,0.46153846153846156
45,0.7303571428571429,0.2632176157176157,0.17851773597383996,0.4,0.3076923076923077
46,0.8988095238095237,0.7178496221974482,0.12577927714867027,0.6666666666666666,0.46153846153846156
47,0.92,0.7634890109890109,0.1288685045374366,0.7,0.5384615384615384
48,0.8309090909090908,0.49617968809145274,0.1720973233448386,0.4,0.3076923076923077
49,0.7163636363636363,0.2630877228940357,0.20026819590197886,0.3,0.23076923076923078
