fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20
0,0.7660714285714285,0.5001448371448372,0.15811738222578184,0.6,0.46153846153846156
1,0.6507936507936509,0.26670825497893164,0.15038554080035021,0.3333333333333333,0.23076923076923078
2,0.830909090909091,0.6422693555183192,0.14202530046221443,0.6,0.46153846153846156
3,0.7145454545454545,0.39744151323098686,0.14699339745965317,0.4,0.3076923076923077
4,0.6890909090909091,0.28269664475309636,0.14231782495325535,0.5,0.38461538461538464
5,0.6857142857142857,0.3657329326335196,0.15528728152386312,0.4,0.3076923076923077
6,0.8095238095238095,0.4944110037677289,0.13223476516972252,0.5555555555555556,0.38461538461538464
7,0.6781818181818182,0.3772242420765537,0.16032258394632803,0.4,0.3076923076923077
8,0.7109090909090909,0.41095807453416144,0.15458430088219696,0.3,0.23076923076923078
9,0.7272727272727273,0.4459275541003045,0.14397300740426988,0.4,0.3076923076923077
10,0.7875,0.4951278016149496,0.14294655094224037,0.4,0.3076923076923077
11,0.5912698412698413,0.2516277603234125,0.17837196811455558,0.3333333333333333,0.23076923076923078
12,0.6690909090909092,0.2799915662689971,0.15687766538922165,0.4,0.3076923076923077
13,0.7927272727272727,0.43690351410603123,0.1399689344599649,0.5,0.38461538461538464
14,0.8200000000000001,0.527278953724892,0.12220593493170899,0.5,0.38461538461538464
15,0.7642857142857143,0.4152810322196512,0.1342596256168554,0.5,0.38461538461538464
16,0.8075396825396826,0.5023768136096045,0.12105489220168686,0.5555555555555556,0.38461538461538464
17,0.6145454545454545,0.2486329426081917,0.15960744751965206,0.2,0.15384615384615385
18,0.7709090909090909,0.5559403761504601,0.15204410415160427,0.5,0.38461538461538464
19,0.7145454545454546,0.39395472178901214,0.1756219356432251,0.5,0.38461538461538464
20,0.7392857142857142,0.5012152253431322,0.14104411305906975,0.5,0.38461538461538464
21,0.751984126984127,0.49213152961442974,0.13573937864631586,0.5555555555555556,0.38461538461538464
22,0.7254545454545455,0.35276435055627603,0.15138711985617265,0.4,0.3076923076923077
23,0.749090909090909,0.45273026567294017,0.15023947858847259,0.4,0.3076923076923077
24,0.76,0.5302556293835363,0.13620012644296295,0.5,0.38461538461538464
25,0.7642857142857142,0.46344028520499103,0.14567318713175736,0.4,0.3076923076923077
26,0.7579365079365079,0.3284558844955938,0.15615400110388167,0.4444444444444444,0.3076923076923077
27,0.8054545454545455,0.511231884057971,0.13752815735546828,0.6,0.46153846153846156
28,0.7709090909090909,0.5298191214470284,0.13519337921803312,0.5,0.38461538461538464
29,0.8072727272727273,0.5222736131934033,0.11935554527423724,0.5,0.38461538461538464
30,0.8392857142857142,0.5177132671250319,0.140612743246472,0.5,0.38461538461538464
31,0.7361111111111112,0.3519175463131677,0.14788918692762704,0.4444444444444444,0.3076923076923077
32,0.7818181818181819,0.5732546489150262,0.13545363210795408,0.7,0.5384615384615384
33,0.5890909090909091,0.26978098772612413,0.16105066179880556,0.1,0.07692307692307693
34,0.7563636363636363,0.5531313131313131,0.13868446256834466,0.5,0.38461538461538464
35,0.7714285714285715,0.5877299462544049,0.13890483817870908,0.6,0.46153846153846156
36,0.8055555555555555,0.4754070512702226,0.13508393358997506,0.4444444444444444,0.3076923076923077
37,0.7854545454545455,0.5431974127820598,0.14781062065595485,0.6,0.46153846153846156
38,0.6890909090909091,0.4470700771536684,0.15316269381553402,0.3,0.23076923076923078
39,0.7345454545454546,0.4061382917848435,0.13934248008423222,0.4,0.3076923076923077
40,0.7732142857142857,0.36679782583008386,0.13739806583250344,0.5,0.38461538461538464
41,0.7658730158730158,0.44972892031715556,0.14304625958737108,0.4444444444444444,0.3076923076923077
42,0.6254545454545455,0.3011970604880322,0.15958108322550493,0.2,0.15384615384615385
43,0.7672727272727273,0.5359018048148483,0.13937155797269868,0.5,0.38461538461538464
44,0.8181818181818182,0.6090004491602236,0.14035677076110237,0.5,0.38461538461538464
45,0.6499999999999999,0.2356678543435427,0.15710392792498143,0.3,0.23076923076923078
46,0.8035714285714286,0.6285538823683801,0.11737571945732833,0.6666666666666666,0.46153846153846156
47,0.8981818181818182,0.5149508386350492,0.12734758921852085,0.6,0.46153846153846156
48,0.7381818181818183,0.5491751966744144,0.1474131289841938,0.5,0.38461538461538464
49,0.6454545454545455,0.21822427394314425,0.16380069539529218,0.3,0.23076923076923078
