config,roc_auc_mean,roc_auc_std,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_mean,pr_auc_std,pr_auc_ci_lo,pr_auc_ci_hi,brier_mean,brier_std,brier_ci_lo,brier_ci_hi,sens_at_20_mean,sens_at_20_std,sens_at_20_ci_lo,sens_at_20_ci_hi,vpp_at_20_mean,vpp_at_20_std,vpp_at_20_ci_lo,vpp_at_20_ci_hi,umbral_capacidad_mean,umbral_capacidad_std,umbral_capacidad_ci_lo,umbral_capacidad_ci_hi
lr_C1,0.5920803457920163,0.07322818308716436,0.4863329519450801,0.7314912280701753,0.42305234309607714,0.08907748342386268,0.3026042078821565,0.5960683396209767,0.24740337507718568,0.022485502827720272,0.19696355585394698,0.27795309758288583,0.2831578947368421,0.08952737379484216,0.15789473684210525,0.47368421052631576,0.41384615384615386,0.1308477001616924,0.23076923076923078,0.6923076923076923,0.6528321359580977,0.038146220759806296,0.5777856858906306,0.7215148935208738
lr_C10,0.5970973811339944,0.07535667285782752,0.48106407322654465,0.7455949656750572,0.4208692095219195,0.08603127349115085,0.29408315238687355,0.5987493682642697,0.25461794686410283,0.026362866232190307,0.20234186341150726,0.2909461213750645,0.2789473684210526,0.08184789871081669,0.15789473684210525,0.42105263157894735,0.40769230769230774,0.11962385196196287,0.23076923076923078,0.6153846153846154,0.682663617306323,0.04523070380499978,0.5808958109818331,0.7508945660233629
lr_C0.1,0.5828415967454869,0.06972485654614072,0.47929061784897015,0.7224561403508772,0.41332304734228076,0.08336250035047256,0.3016447891803282,0.579691286567067,0.2396200099944816,0.012522870925328796,0.21004816396027484,0.2568187939420735,0.26947368421052625,0.07859930433306454,0.11710526315789474,0.42105263157894735,0.39384615384615396,0.11487590633294048,0.17115384615384616,0.6153846153846154,0.5849366558604124,0.020484061783502407,0.5495568291287404,0.6157242443295221
rf_d6,0.5670739893211288,0.06331073850174725,0.4743224002034071,0.6927631578947367,0.4053809813206169,0.07237304816422799,0.3007382150920102,0.538483095655584,0.22871581109423716,0.008955260262944716,0.2131163021968536,0.24338905262589766,0.25052631578947365,0.06516676294742993,0.15789473684210525,0.3684210526315789,0.3661538461538461,0.09524373046162835,0.23076923076923078,0.5384615384615384,0.5274973110614467,0.018205905853979767,0.4974680650235175,0.5688582632915477
rf_d4,0.568602084922451,0.06376105385175293,0.4785971268751589,0.6929347826086957,0.40432584718500414,0.07650462398897494,0.2935355564550363,0.5252143609294051,0.2324633281794654,0.0075095029792996044,0.21851401178519134,0.24466384405281047,0.2536842105263158,0.0702836616273792,0.11710526315789474,0.3684210526315789,0.3707692307692308,0.10272227468616961,0.17115384615384616,0.5384615384615384,0.5280484843710215,0.013415981795965927,0.5031434525363395,0.5559634529180942
rf_full,0.5654691075514875,0.0618912846192426,0.4725203407068395,0.6808352402745995,0.4039634428619719,0.0693190395490964,0.3003549668308921,0.5260238709240483,0.22696311122933538,0.00932583726657861,0.21226063425442265,0.24185827488776718,0.24947368421052635,0.07872148135315103,0.11710526315789474,0.42105263157894735,0.3646153846153847,0.11505447274691306,0.17115384615384616,0.6153846153846154,0.5229565380516784,0.019678256832252612,0.487500705470716,0.5633285509028981
gb_d3,0.5348387998982965,0.07043486442573671,0.43034897025171626,0.68074942791762,0.375678028813035,0.0683965617204914,0.2741839136583711,0.5172104745451787,0.2333601222445298,0.020740189583018015,0.1914409018991563,0.26573417240692504,0.23789473684210527,0.07536820502942357,0.10526315789473684,0.40921052631578936,0.3476923076923077,0.11015353042761906,0.15384615384615385,0.598076923076923,0.4459002328598173,0.057479582398656526,0.3406410245908598,0.5607499873432156
