fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20,umbral_capacidad
0,0.5839285714285714,0.2842371179834523,0.2236722926480071,0.3,0.23076923076923078,0.6640248908562816
1,0.7837301587301587,0.4810340802987862,0.18457114795379795,0.4444444444444444,0.3076923076923077,0.6845111694376639
2,0.7854545454545454,0.5257350427350428,0.17853836553825364,0.6,0.46153846153846156,0.6813698333066837
3,0.6636363636363636,0.31787690570299265,0.22709742171442082,0.3,0.23076923076923078,0.7330432073812259
4,0.6836363636363636,0.28033730350168135,0.1911913886056099,0.3,0.23076923076923078,0.5778544694828878
5,0.7517857142857143,0.4268372032715745,0.19626709694225292,0.5,0.38461538461538464,0.7534919806562492
6,0.7123015873015873,0.3889644027677791,0.17166703274260428,0.6666666666666666,0.46153846153846156,0.6141310038265579
7,0.6090909090909091,0.27340494615898137,0.2531065862077195,0.2,0.15384615384615385,0.713051197814806
8,0.6018181818181818,0.2807308486379884,0.23707187303943308,0.3,0.23076923076923078,0.7220142379602458
9,0.6927272727272726,0.3513428238428239,0.19871687562968862,0.4,0.3076923076923077,0.6689212614980453
10,0.7785714285714287,0.4185006875777667,0.15606934226198454,0.5,0.38461538461538464,0.5903919070742257
11,0.6329365079365079,0.21571431788823092,0.20880310072253885,0.3333333333333333,0.23076923076923078,0.5932119964027333
12,0.7418181818181817,0.3647344944246472,0.23597347145725162,0.3,0.23076923076923078,0.7736744631406757
13,0.6818181818181818,0.43475032668092184,0.18751565364106368,0.4,0.3076923076923077,0.6455769035331052
14,0.7472727272727272,0.6022038505502533,0.1929152290966571,0.5,0.38461538461538464,0.6511528471807905
15,0.8196428571428572,0.5365785676311992,0.1592622637755068,0.5,0.38461538461538464,0.6358806394884883
16,0.623015873015873,0.2567594447727633,0.204776352984964,0.3333333333333333,0.23076923076923078,0.6090955218700577
17,0.5581818181818182,0.18381709307383678,0.2686225144190207,0.1,0.07692307692307693,0.7601385782065879
18,0.7472727272727273,0.4745876214979988,0.18606621377152702,0.4,0.3076923076923077,0.6966428619981172
19,0.6545454545454545,0.3816411671293427,0.24939611328081776,0.3,0.23076923076923078,0.7291601502044451
20,0.7857142857142857,0.4525141887098409,0.17578554802978635,0.6,0.46153846153846156,0.7047067462000334
21,0.6547619047619048,0.34863698064960336,0.19051116500858287,0.3333333333333333,0.23076923076923078,0.7005804781466733
22,0.6636363636363637,0.2689688254592032,0.22004885015669584,0.4,0.3076923076923077,0.6469284360240607
23,0.7418181818181817,0.2934498040204562,0.2057922918460149,0.5,0.38461538461538464,0.6361286331829762
24,0.7363636363636363,0.5114211001506083,0.19257261926655855,0.5,0.38461538461538464,0.6532029281620039
25,0.5910714285714286,0.40077433813150587,0.21347385357658266,0.5,0.38461538461538464,0.6461702726303477
26,0.6011904761904762,0.22287132214959,0.2587709145282153,0.4444444444444444,0.3076923076923077,0.7822014427671677
27,0.8072727272727274,0.4882384935326112,0.21753264230186764,0.5,0.38461538461538464,0.8237419965713977
28,0.6636363636363636,0.23682830690326942,0.20389629305781742,0.3,0.23076923076923078,0.6062235878195695
29,0.7272727272727273,0.39662624140565317,0.16566234453877776,0.4,0.3076923076923077,0.5774281222828641
30,0.7999999999999999,0.3216332580463015,0.1748095682378908,0.4,0.3076923076923077,0.5951006412165938
31,0.753968253968254,0.46332596549987853,0.1918349796126872,0.4444444444444444,0.3076923076923077,0.6922903912168764
32,0.7236363636363636,0.3148871009942439,0.18517607004664527,0.4,0.3076923076923077,0.637095071724295
33,0.6945454545454546,0.4993494776509466,0.20916493350943977,0.5,0.38461538461538464,0.6943837424565326
34,0.6163636363636364,0.37590226706271146,0.2556320004388211,0.3,0.23076923076923078,0.7620830472032232
35,0.8178571428571428,0.5311207064223752,0.17322474115269273,0.5,0.38461538461538464,0.6835702604733025
36,0.6587301587301587,0.3376243129326793,0.16696585887515725,0.5555555555555556,0.38461538461538464,0.5524118221115938
37,0.7163636363636364,0.3396747473007271,0.21634715405404115,0.3,0.23076923076923078,0.69240538996151
38,0.750909090909091,0.45950443613234304,0.20824185847460852,0.6,0.46153846153846156,0.745339139975687
39,0.64,0.2491711074673772,0.24068990998458228,0.2,0.15384615384615385,0.7186545644946101
40,0.6642857142857143,0.27674405188654977,0.20552711566080406,0.3,0.23076923076923078,0.5978948067317269
41,0.738095238095238,0.32065390749601275,0.1891468405619307,0.4444444444444444,0.3076923076923077,0.6188858131527825
42,0.5763636363636363,0.19300710058862233,0.24901935707673065,0.2,0.15384615384615385,0.7568042321583981
43,0.7327272727272728,0.5133014707859428,0.21093659138629736,0.5,0.38461538461538464,0.7396490033012768
44,0.769090909090909,0.42887238803567407,0.1626288100510512,0.4,0.3076923076923077,0.5689459165137424
45,0.5696428571428571,0.2490357233789437,0.2148677820459637,0.4,0.3076923076923077,0.6493726788897668
46,0.683531746031746,0.2976637101766101,0.1903758573893039,0.3333333333333333,0.23076923076923078,0.5901680962537573
47,0.7327272727272728,0.37303219003219,0.214821568872454,0.4,0.3076923076923077,0.7116573552721017
48,0.7072727272727273,0.360486013986014,0.23021143845964567,0.3,0.23076923076923078,0.8020087603647137
49,0.8036363636363636,0.5856531100478469,0.16067766397774588,0.5,0.38461538461538464,0.5865171673069277
