fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20,umbral_capacidad
0,0.5517857142857142,0.26320781754914524,0.22443960175566063,0.2,0.15384615384615385,0.5921811323411322
1,0.6964285714285714,0.37389021796916533,0.20683217669704193,0.4444444444444444,0.3076923076923077,0.6111842951692317
2,0.769090909090909,0.5245675090355941,0.18928315128780926,0.5,0.38461538461538464,0.5980280917989471
3,0.6563636363636364,0.3161470342522974,0.21588252951704187,0.4,0.3076923076923077,0.5980232323599136
4,0.6690909090909091,0.25666246754980554,0.1904464047382014,0.4,0.3076923076923077,0.510315232568755
5,0.6696428571428571,0.2740924269285253,0.21900630749107391,0.4,0.3076923076923077,0.6197243162787992
6,0.6884920634920635,0.36228064141213473,0.18461057604896153,0.4444444444444444,0.3076923076923077,0.5367941497509885
7,0.6436363636363637,0.37796833820679443,0.21526621254649286,0.3,0.23076923076923078,0.5913532999633218
8,0.6436363636363637,0.34253017697964266,0.2293434690073559,0.3,0.23076923076923078,0.6165250400233341
9,0.6890909090909091,0.3324593647650739,0.19486869677802252,0.3,0.23076923076923078,0.5613142810185269
10,0.7375,0.4084012392835922,0.1792515458148166,0.5,0.38461538461538464,0.5384668325561329
11,0.6071428571428572,0.20434464017750192,0.22079814368041095,0.4444444444444444,0.3076923076923077,0.5662825007774318
12,0.6290909090909091,0.2960696941946942,0.23093340140539048,0.3,0.23076923076923078,0.6546826875261903
13,0.6272727272727273,0.3350544839387104,0.2074610591567399,0.4,0.3076923076923077,0.5735716899755189
14,0.7454545454545455,0.5147114063073316,0.19130478399441347,0.5,0.38461538461538464,0.5699218771601335
15,0.7303571428571429,0.30407185953524624,0.18996230638072778,0.4,0.3076923076923077,0.5887514882402368
16,0.628968253968254,0.2306767506050093,0.20004785602178904,0.3333333333333333,0.23076923076923078,0.5904328752618462
17,0.6072727272727273,0.30746470145295696,0.2176055159131238,0.2,0.15384615384615385,0.5916844060476544
18,0.7909090909090909,0.5286407657221958,0.1878274095762265,0.5,0.38461538461538464,0.5632257353076557
19,0.6236363636363637,0.3136314548555178,0.25165695406357924,0.2,0.15384615384615385,0.6640593049274586
20,0.7446428571428572,0.5215758751718004,0.18936663794664566,0.5,0.38461538461538464,0.6025063678175052
21,0.621031746031746,0.36388485928715814,0.2024974726661909,0.4444444444444444,0.3076923076923077,0.5814285731374902
22,0.6072727272727273,0.21609519722622994,0.22074465689654124,0.3,0.23076923076923078,0.5774444869553282
23,0.7327272727272727,0.283306462505951,0.20463419686352913,0.4,0.3076923076923077,0.609873036117557
24,0.7618181818181818,0.3882209348385819,0.19964943435837706,0.5,0.38461538461538464,0.5765977707277784
25,0.5803571428571428,0.3257040646692882,0.21567247681926088,0.3,0.23076923076923078,0.5619322103513854
26,0.6706349206349207,0.3241409577482352,0.21960338438984167,0.3333333333333333,0.23076923076923078,0.6013095484218162
27,0.7581818181818182,0.4075786604216197,0.21356764699789904,0.4,0.3076923076923077,0.6537185587829905
28,0.68,0.2764496575065651,0.20632604358480439,0.4,0.3076923076923077,0.572171336483841
29,0.7054545454545454,0.3657331847659594,0.1836328696960324,0.2,0.15384615384615385,0.5376856188444179
30,0.7482142857142857,0.3024529771689071,0.19816990627072556,0.3,0.23076923076923078,0.5931651166730957
31,0.7460317460317459,0.38735642068886433,0.1927431547636851,0.4444444444444444,0.3076923076923077,0.5968467846646797
32,0.6309090909090909,0.27662258292587316,0.20720476570037502,0.2,0.15384615384615385,0.565033345511334
33,0.6781818181818181,0.37233850440746996,0.2032289824503097,0.4,0.3076923076923077,0.6187030680073934
34,0.5981818181818181,0.38775965577487825,0.228755564771189,0.3,0.23076923076923078,0.6068819806627616
35,0.8,0.459832052005965,0.19723976088201792,0.4,0.3076923076923077,0.5995704270267831
36,0.632936507936508,0.30265861190477217,0.19648561720924884,0.3333333333333333,0.23076923076923078,0.5669204580164441
37,0.6709090909090909,0.32448505237239034,0.21951368927593914,0.3,0.23076923076923078,0.629515512708986
38,0.6963636363636364,0.3542948942122749,0.2025970548418779,0.3,0.23076923076923078,0.5744044629057328
39,0.7090909090909091,0.32663487664289587,0.20428313735649212,0.3,0.23076923076923078,0.5602504349813949
40,0.630357142857143,0.3397847747745468,0.20847609413079335,0.3,0.23076923076923078,0.5747890648217228
41,0.6924603174603174,0.28876008939838727,0.20649452615777258,0.4444444444444444,0.3076923076923077,0.5925321151677574
42,0.5727272727272728,0.22302489177489176,0.2185817657484779,0.2,0.15384615384615385,0.6060985526297502
43,0.8181818181818181,0.5469936868686869,0.20294968553344128,0.5,0.38461538461538464,0.6424322448989908
44,0.7036363636363636,0.4443018203312321,0.18558700194564817,0.6,0.46153846153846156,0.5426377687213507
45,0.5785714285714286,0.20807317592044333,0.2131752000165499,0.2,0.15384615384615385,0.6093455134297611
46,0.7371031746031746,0.3811244311244312,0.1906390021477291,0.4444444444444444,0.3076923076923077,0.5736814721822653
47,0.6945454545454546,0.3537696069836124,0.21053218263091633,0.4,0.3076923076923077,0.5479365925853906
48,0.7327272727272728,0.37327518886342415,0.19658038825557567,0.4,0.3076923076923077,0.5893278690333777
49,0.8145454545454546,0.39988229086449334,0.2002104859817159,0.6,0.46153846153846156,0.5676135351139538
