capacidad,sensibilidad,vpp,umbral
0.05,0.12244897959183673,0.375,0.7113041874307869
0.1,0.20408163265306123,0.30303030303030304,0.6684992543186231
0.15,0.30612244897959184,0.30612244897959184,0.6121083409985545
0.2,0.3877551020408163,0.2923076923076923,0.5624576806649839
0.25,0.42857142857142855,0.25609756097560976,0.542232188324633
0.3,0.5306122448979592,0.2653061224489796,0.5084499400838138
0.35,0.5714285714285714,0.24561403508771928,0.48933889164298605
0.4,0.6326530612244898,0.23846153846153847,0.4643444077871828
0.45,0.7346938775510204,0.24489795918367346,0.43518846697416347
0.5,0.7755102040816326,0.2331288343558282,0.4083626675115079
