fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20,umbral_capacidad
0,0.6660714285714285,0.3509263808906452,0.12061889575037245,0.4,0.3076923076923077,0.2145373776723727
1,0.7599206349206349,0.47559120223320034,0.1021846099791865,0.5555555555555556,0.38461538461538464,0.2979651640760912
2,0.6436363636363636,0.4382352465542121,0.12260321298226871,0.4,0.3076923076923077,0.2103922253578181
3,0.5890909090909091,0.2106791539440578,0.14438545668137273,0.2,0.15384615384615385,0.2733455108871837
4,0.750909090909091,0.3487646287328491,0.12855845912861097,0.4,0.3076923076923077,0.12583215127740494
5,0.70625,0.2610403364751191,0.1349284221995894,0.4,0.3076923076923077,0.21154128555998508
6,0.6587301587301587,0.35399987277180256,0.11343216673542013,0.3333333333333333,0.23076923076923078,0.21622239789109665
7,0.6727272727272727,0.38928724877893284,0.12713257309388323,0.4,0.3076923076923077,0.23222826488820475
8,0.4872727272727273,0.26642119469633807,0.14027609846823527,0.2,0.15384615384615385,0.292131561455925
9,0.66,0.3098592538919263,0.12976757685083296,0.4,0.3076923076923077,0.1275298670647614
10,0.6785714285714286,0.34456055126382856,0.12500013351361644,0.4,0.3076923076923077,0.22090002534126604
11,0.6091269841269841,0.21459776193178326,0.1353312164102378,0.1111111111111111,0.07692307692307693,0.1927839540461154
12,0.6454545454545455,0.23300357814671413,0.1448517239311877,0.4,0.3076923076923077,0.30959306197481046
13,0.6472727272727272,0.28238217020337764,0.13032580256521578,0.4,0.3076923076923077,0.2498700653801491
14,0.62,0.3612760764553833,0.13269209319869263,0.4,0.3076923076923077,0.18851275640911602
15,0.8875,0.46422262922262925,0.10959704904407258,0.6,0.46153846153846156,0.19950159576391366
16,0.6329365079365079,0.3142387476932852,0.11729186406360396,0.3333333333333333,0.23076923076923078,0.1552620766645612
17,0.5927272727272728,0.19620844290558473,0.15963424798031375,0.2,0.15384615384615385,0.21778500468969236
18,0.7854545454545454,0.4964878854009289,0.10520976130161963,0.4,0.3076923076923077,0.24702647460421473
19,0.6418181818181818,0.34072552814099333,0.13834430986679663,0.3,0.23076923076923078,0.2589415769186682
20,0.6357142857142857,0.3468954970566665,0.13242043708613394,0.4,0.3076923076923077,0.2925449629107311
21,0.6240079365079365,0.30597665853832834,0.11703963907645328,0.3333333333333333,0.23076923076923078,0.189604751479148
22,0.6890909090909091,0.2655922196464793,0.13211699389973924,0.3,0.23076923076923078,0.23753741520475424
23,0.7672727272727273,0.44093635119390995,0.11976152931770624,0.4,0.3076923076923077,0.23565156698955517
24,0.7909090909090909,0.3436181104391367,0.12200613538800381,0.5,0.38461538461538464,0.21164546608255652
25,0.6571428571428571,0.396454486727548,0.11885094797961535,0.4,0.3076923076923077,0.23743628154904922
26,0.5853174603174602,0.2798936054614505,0.1283052913800102,0.2222222222222222,0.15384615384615385,0.2038821436910791
27,0.6981818181818181,0.48119028884911463,0.11691245707533485,0.5,0.38461538461538464,0.26374708674676656
28,0.5872727272727273,0.20286858974358973,0.15905619506552227,0.3,0.23076923076923078,0.17817152665165475
29,0.8327272727272728,0.4716713033343468,0.10978442361906214,0.6,0.46153846153846156,0.19941765385814636
30,0.6607142857142857,0.23099350681247233,0.13683546399544866,0.2,0.15384615384615385,0.19571521400980718
31,0.8055555555555556,0.45990097353158704,0.10769170044984212,0.3333333333333333,0.23076923076923078,0.24145538793312857
32,0.6799999999999999,0.30281258730167315,0.132628321290883,0.3,0.23076923076923078,0.1670957793858217
33,0.7254545454545455,0.27710911637382224,0.12973898285087168,0.4,0.3076923076923077,0.28111430508023244
34,0.5872727272727273,0.4303068564449012,0.12903574033448936,0.3,0.23076923076923078,0.2594476181461382
35,0.7285714285714286,0.4416889029128931,0.11538368290299555,0.5,0.38461538461538464,0.22746202229209966
36,0.5932539682539683,0.18635471524360414,0.13891212454125015,0.3333333333333333,0.23076923076923078,0.17748287883951286
37,0.6672727272727274,0.24062161259296555,0.1355377020266276,0.4,0.3076923076923077,0.21526250966959903
38,0.7363636363636364,0.4250335555235737,0.1114822328800757,0.6,0.46153846153846156,0.24315027003880846
39,0.5727272727272728,0.22248684119280362,0.1521100901405239,0.2,0.15384615384615385,0.17991002639090992
40,0.5553571428571429,0.19046451058901304,0.1500918082744516,0.1,0.07692307692307693,0.21193367022016651
41,0.6904761904761905,0.2625751938845392,0.11796041233981527,0.2222222222222222,0.15384615384615385,0.19161825703889948
42,0.5890909090909091,0.28114089210397664,0.13692174401757076,0.4,0.3076923076923077,0.275589060894859
43,0.8327272727272728,0.5805272952853598,0.09566653160763916,0.4,0.3076923076923077,0.21422985597466648
44,0.6690909090909092,0.32541697972206723,0.12825339334730276,0.3,0.23076923076923078,0.1725086758236163
45,0.6035714285714285,0.30391417497231454,0.13168650272954752,0.3,0.23076923076923078,0.19395720817909864
46,0.7787698412698413,0.424358504699062,0.11002199946604897,0.4444444444444444,0.3076923076923077,0.1664328819900331
47,0.7454545454545455,0.3974798933473206,0.12065463068135918,0.5,0.38461538461538464,0.28577093383062274
48,0.6000000000000001,0.35524132347773263,0.13116466614218059,0.3,0.23076923076923078,0.27866901780157816
49,0.8472727272727273,0.43043054984231455,0.11746997536712224,0.6,0.46153846153846156,0.16598904489415692
