fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20,umbral_capacidad
0,0.5821428571428571,0.28908187631184146,0.19010633357224563,0.3,0.23076923076923078,0.49375758586242235
1,0.6309523809523809,0.32634474247377476,0.1885284231440588,0.5555555555555556,0.38461538461538464,0.5273786462731915
2,0.6545454545454545,0.3466169283932442,0.18221957634676342,0.3,0.23076923076923078,0.47560071663832937
3,0.5618181818181819,0.28258020363570646,0.20225156797141405,0.2,0.15384615384615385,0.5514915663930674
4,0.6345454545454545,0.3217191356974639,0.1800765031109182,0.3,0.23076923076923078,0.46729439085027963
5,0.6321428571428571,0.2880369733173237,0.19055371131212837,0.5,0.38461538461538464,0.5032173808222923
6,0.625,0.32243514444652965,0.17992872672613242,0.4444444444444444,0.3076923076923077,0.4778334425235077
7,0.5781818181818181,0.3113742901978196,0.1992049249175533,0.3,0.23076923076923078,0.5048825233390847
8,0.630909090909091,0.2736205237178868,0.20151787887147038,0.3,0.23076923076923078,0.5043087363904494
9,0.6018181818181818,0.38507591656940376,0.18354869873288443,0.4,0.3076923076923077,0.47883984886963304
10,0.7071428571428572,0.3681946962143871,0.1727039109895476,0.5,0.38461538461538464,0.475461417130143
11,0.5714285714285714,0.1995929515081362,0.1921739098106959,0.3333333333333333,0.23076923076923078,0.5050056962702757
12,0.5127272727272728,0.18332469892167724,0.2078212671029173,0.2,0.15384615384615385,0.5519403924770756
13,0.5527272727272727,0.30420244423598086,0.19020927572677088,0.3,0.23076923076923078,0.48743889893848047
14,0.5963636363636364,0.29267549390500214,0.18426122434159067,0.4,0.3076923076923077,0.4770097258573544
15,0.7053571428571428,0.3508918567426971,0.17432936132680862,0.3,0.23076923076923078,0.46051344907767394
16,0.5932539682539683,0.26571690331770975,0.18559081242767642,0.4444444444444444,0.3076923076923077,0.5038369776755531
17,0.6381818181818182,0.30041379037193106,0.1883499376147073,0.2,0.15384615384615385,0.4887308918472064
18,0.769090909090909,0.5526990183945624,0.18219840561715264,0.5,0.38461538461538464,0.5002302697230476
19,0.5054545454545454,0.19417965148521382,0.22389490714833002,0.2,0.15384615384615385,0.5360518042936291
20,0.6732142857142857,0.4796979419569941,0.17899697487513722,0.5,0.38461538461538464,0.513216462025581
21,0.6031746031746033,0.3761994108869116,0.18434912171673692,0.3333333333333333,0.23076923076923078,0.5040202039361416
22,0.6254545454545455,0.24274974120082815,0.1940283419215514,0.3,0.23076923076923078,0.5061666723683118
23,0.6981818181818182,0.3715069948065103,0.18948281086949081,0.4,0.3076923076923077,0.5324158362143546
24,0.7327272727272727,0.42189122471731166,0.17751877698713686,0.5,0.38461538461538464,0.4786233747704276
25,0.5589285714285714,0.32671250519057526,0.19429935420909852,0.4,0.3076923076923077,0.4914731011897255
26,0.6607142857142857,0.32123074306578137,0.1850853842132558,0.3333333333333333,0.23076923076923078,0.5013269412208851
27,0.7090909090909091,0.33965830086712373,0.18913601983340783,0.5,0.38461538461538464,0.522637753803044
28,0.6454545454545455,0.28420856273543904,0.1855078619359841,0.4,0.3076923076923077,0.4943876048287845
29,0.7345454545454546,0.4393230358504958,0.17048205257295923,0.4,0.3076923076923077,0.46053577069743207
30,0.7232142857142857,0.2770995615637559,0.18039896240056735,0.2,0.15384615384615385,0.49880718865320206
31,0.7361111111111112,0.4772670559018077,0.18174810453614365,0.4444444444444444,0.3076923076923077,0.5010148315327395
32,0.6218181818181818,0.32986671842650106,0.18463383140748577,0.3,0.23076923076923078,0.4740105046040488
33,0.6236363636363637,0.3528470250976644,0.19265755124689055,0.3,0.23076923076923078,0.5398406163999133
34,0.5327272727272727,0.2785110729084693,0.20339827638757063,0.4,0.3076923076923077,0.5048008146215851
35,0.7232142857142857,0.45188230561181375,0.18435450229413172,0.5,0.38461538461538464,0.5288966638020862
36,0.6626984126984127,0.2758056758056758,0.1812451003426006,0.3333333333333333,0.23076923076923078,0.47583790173501617
37,0.6327272727272728,0.33225975413475417,0.18984858800601123,0.3,0.23076923076923078,0.5210702592492562
38,0.6836363636363636,0.3449084705944462,0.1826426976015866,0.4,0.3076923076923077,0.4724288485850252
39,0.6181818181818182,0.31712336531376656,0.18837354717891225,0.3,0.23076923076923078,0.48192616522362225
40,0.5910714285714286,0.3479730597049386,0.18563463516138645,0.2,0.15384615384615385,0.48281514628191774
41,0.6091269841269841,0.2377938831410384,0.19082468320559678,0.2222222222222222,0.15384615384615385,0.4971004986394771
42,0.5781818181818181,0.2764918279741908,0.1912269169574381,0.3,0.23076923076923078,0.4890219980779166
43,0.7563636363636363,0.5331763925729442,0.187742848607482,0.5,0.38461538461538464,0.4988056486999765
44,0.6963636363636364,0.4032147963451429,0.17876459312784768,0.5,0.38461538461538464,0.48320467047880444
45,0.525,0.17801730751327524,0.19315220417301038,0.1,0.07692307692307693,0.4976133466625904
46,0.7053571428571428,0.42961575461575463,0.17323416279369203,0.5555555555555556,0.38461538461538464,0.46829748281814904
47,0.6272727272727273,0.27146873692005535,0.19458623068364478,0.4,0.3076923076923077,0.5164702522408482
48,0.6963636363636363,0.4028964867245689,0.1781832088461777,0.3,0.23076923076923078,0.5001505051577383
49,0.7945454545454547,0.4660385878489327,0.18096342113033256,0.5,0.38461538461538464,0.4907003130936289
