config,roc_auc_mean,roc_auc_std,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_mean,pr_auc_std,pr_auc_ci_lo,pr_auc_ci_hi,brier_mean,brier_std,brier_ci_lo,brier_ci_hi,sens_at_20_mean,sens_at_20_std,sens_at_20_ci_lo,sens_at_20_ci_hi,vpp_at_20_mean,vpp_at_20_std,vpp_at_20_ci_lo,vpp_at_20_ci_hi,umbral_capacidad_mean,umbral_capacidad_std,umbral_capacidad_ci_lo,umbral_capacidad_ci_hi
lr_C10,0.6995134199134199,0.0720427224980547,0.5711550324675324,0.8154756493506493,0.3718152178632879,0.10681313132790532,0.19811622448103428,0.5746113380041011,0.2041129511079367,0.028583597160898592,0.15958072882102592,0.25806465885809154,0.40266666666666673,0.11785775746726601,0.2,0.6,0.3030769230769231,0.08847348223239712,0.15384615384615385,0.46153846153846156,0.6733977452501285,0.06757449834948416,0.5708544127733234,0.7975521139052408
lr_C1,0.6927059884559884,0.06739951301270516,0.571224025974026,0.8108482142857143,0.3558404023264082,0.09333382275141361,0.20725876550029776,0.5509806922976953,0.20155041892258604,0.02310696922561254,0.16715220203083428,0.24787485316881572,0.36177777777777786,0.10534135086262235,0.2,0.5,0.2723076923076923,0.07956226092262837,0.15384615384615385,0.38461538461538464,0.6385274413990897,0.05912987522042965,0.5270216338371717,0.7370225246338394
lr_C0.1,0.6830531746031747,0.06631610010477826,0.5740422077922078,0.8112727272727273,0.3478597685974153,0.08373479178157733,0.20987813071424533,0.5277242829677103,0.20571941776328967,0.01462988105495138,0.18385285362544146,0.2305756666158327,0.37222222222222223,0.1048400382033564,0.2,0.5774999999999998,0.2800000000000001,0.07887630085681918,0.15384615384615385,0.44423076923076915,0.5873775259287249,0.03149617365340664,0.5369947302970101,0.6544657585589704
gb_d3,0.6774420995670996,0.08523053565416235,0.5592654220779221,0.844,0.3391292597435631,0.09548806837376662,0.19175689536024168,0.4930459261767707,0.12695334858037513,0.013944300758220904,0.10286526902673396,0.1574933214573976,0.3664444444444445,0.12026865869606373,0.13111111111111112,0.6,0.27692307692307694,0.09324485026635791,0.09423076923076924,0.46153846153846156,0.22072671743041095,0.043916142019553725,0.13376961422471637,0.29674561881388517
rf_d4,0.6412576479076479,0.06905386030103086,0.5154886363636364,0.7662272727272726,0.3349242707971152,0.08426921187740716,0.18576706324847297,0.5211437411843554,0.18743940244070068,0.00955414758251363,0.1728232176454801,0.2068260941919643,0.36199999999999993,0.11079524263194473,0.2,0.5430555555555555,0.2723076923076923,0.08254203058555572,0.15384615384615385,0.38461538461538464,0.4979688347772985,0.022190785514700592,0.4620564602318228,0.5488701026446077
rf_d6,0.6384496392496392,0.06836435848882802,0.5295,0.7716818181818181,0.3250320486691822,0.0886036444996986,0.18774684847353398,0.5313821689667538,0.1732496864282654,0.01112834567165478,0.15716782531793372,0.19757991386323337,0.36800000000000005,0.09977652025125566,0.2,0.5,0.27692307692307694,0.0745310987156623,0.15384615384615385,0.38461538461538464,0.48036725279980763,0.027145427360874077,0.4387084109241859,0.5413920093835046
rf_full,0.6338311688311689,0.07099678946187024,0.5244545454545455,0.7763181818181818,0.318573163978748,0.08640441824356467,0.18559521406069207,0.524449568162334,0.1669031189936417,0.011695226984812011,0.14931863547585403,0.19255078061546133,0.36599999999999994,0.10214159296710323,0.2,0.5,0.27538461538461545,0.07627671929265177,0.15384615384615385,0.38461538461538464,0.4667705126849701,0.028983427369041474,0.4195320642323874,0.5261681145778667
