,media,de
wealth_quintile,1.2500326869902576,0.21505717854535475
hfia_enr,0.8822254150372069,0.21488687099903794
lbw,0.751042592031365,0.13791320261944573
b1_sex,0.734703054032777,0.11170294452056934
depression,0.6946623633969508,0.11706122942206983
educ_cat_n,0.6558509554053829,0.1046956993785055
enrol_anemia,0.5838939080645601,0.13021316312834572
momage_cat,0.4519672477831513,0.12053288058447131
marital_cat,0.44534651936317887,0.11546379482424737
mom_muac_cat,0.4021563541336984,0.13509760914092925
sga,0.2765714171505616,0.11643670236983425
preterm,0.2294376025068003,0.08831727607157085
parity,0.20425618243389296,0.10285173596492944
caesarean,0.18568266974980904,0.09109632896562928
gestage_final,0.13578354855145475,0.05588644262214413
enrol_hiv_status_cat,0.11630066717234393,0.0804410725455441
